bed_id,room_number,ward_name,ward_type,bed_type,hospital_id,department_id,is_isolation_capable,is_active,update_ts
H001-D02-004,101,STEP-UPD,Step-Down,Standard,H001,H001-D02,0,1,2026-07-17 11:58:21
H001-D06-002,100,STEP-UPD,Step-Down,Standard,H001,H001-D06,0,1,2026-07-10 06:47:29
H001-D06-004,101,STEP-UPD,Step-Down,Standard,H001,H001-D06,0,1,2026-08-10 11:59:37
H002-D03-003,101,MED--UPD,Med-Surg,ICU,H002,H002-D03,1,1,2025-07-19 13:06:00
H002-D08-001,100,MED--UPD,Med-Surg,Standard,H002,H002-D08,0,1,2026-07-18 21:57:51
H001-D01-001,100,CARD-MED,Med-Surg,Standard,H001,H001-D01,0,1,2024-01-01 03:00:00
H001-D01-002,100,CARD-MED,Med-Surg,Standard,H001,H001-D01,1,1,2024-01-01 03:00:00
H001-D01-003,101,CARD-MED,Med-Surg,Standard,H001,H001-D01,0,1,2024-01-01 03:00:00
H001-D01-004,101,CARD-MED,Med-Surg,Standard,H001,H001-D01,0,1,2024-01-01 03:00:00
H001-D01-005,102,CARD-MED,Med-Surg,Telemetry,H001,H001-D01,0,1,2024-01-01 03:00:00
H001-D02-001,100,GENE-MED,Med-Surg,Bariatric,H001,H001-D02,0,1,2024-01-01 03:00:00
H001-D02-002,100,GENE-MED,Med-Surg,Telemetry,H001,H001-D02,0,1,2024-01-01 03:00:00
H001-D02-003,101,GENE-MED,Med-Surg,Standard,H001,H001-D02,0,1,2024-01-01 03:00:00
H001-D03-001,100,INTE-MED,Med-Surg,Standard,H001,H001-D03,0,1,2024-01-01 03:00:00
H001-D03-002,100,INTE-MED,Med-Surg,Telemetry,H001,H001-D03,0,1,2024-01-01 03:00:00
H001-D03-003,101,INTE-MED,Med-Surg,Standard,H001,H001-D03,0,1,2024-01-01 03:00:00
H001-D03-004,101,INTE-MED,Med-Surg,Telemetry,H001,H001-D03,0,1,2024-01-01 03:00:00
H001-D04-001,100,ORTH-MED,Med-Surg,Standard,H001,H001-D04,0,1,2024-01-01 03:00:00
H001-D04-002,100,ORTH-MED,Med-Surg,Standard,H001,H001-D04,0,1,2024-01-01 03:00:00
H001-D04-003,101,ORTH-MED,Med-Surg,Bariatric,H001,H001-D04,0,1,2024-01-01 03:00:00
